"corpus_sha256","artifact_id","artifact_sha256","start_offset","end_offset","final_audit_record_id","coverage_status","notes"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S055","53d3f2bdcdd36b2a6bca906edf9925aa52c60284c503750498dd4738e60347d3","414284","425094","CHI_R4_AUDIT_00079","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S056","58c5169294bab931f82ff927118d4fe39e697464e3c0f97fd4e0645435abfbd7","425094","432289","CHI_R4_AUDIT_00080","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S057","cc44a5a064b8123b49b9c25d3de9181f1f7de31c7cde498d9307edbc4570b6b2","432289","439262","CHI_R4_AUDIT_00081","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S058","6cd2129e7320913451af2e6d9a28630be1b7ff1e3602386d75f0d6944ddf8197","439262","446823","CHI_R4_AUDIT_00082","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S059","5a7061358881a7934198f84731e806f850745829c7cb20576122e5a4420f5db3","446823","455164","CHI_R4_AUDIT_00083","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S060","6fdec3ff8ab7d79c19d644fbdd1e643bb22b285925db8537489388a87e0f80a4","455164","462467","CHI_R4_AUDIT_00084","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S061","825e84f9e6b0accd9219ec79e6ca6b71cb6a393409b3e74b490e8d9c587ccf6c","462467","470946","CHI_R4_AUDIT_00085","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S062","9ec785721c7799caa9e1ab747244cb6fae8536a04ea102dbf17461a970850b9f","470946","479224","CHI_R4_AUDIT_00086","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S063","e7c92c64af1c3769a825d8db18f635d2865c81aa0dbfe80909bce1174b22a435","479224","487583","CHI_R4_AUDIT_00087","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S064","d88f7aaffbc9d1b149fc1cb49d61f917ddc9eeb984b582ab5e626220ed138dd7","487583","496152","CHI_R4_AUDIT_00088","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S065","ae5f92b6a2a087f7ce1cd7174e790e958143c5843ad47cded1067a6440b60429","496152","504577","CHI_R4_AUDIT_00089","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S066","2cdf1b941b927805770fb5000d110fce8d1e82b06e3c74b4a16611eacf2cee27","504577","511946","CHI_R4_AUDIT_00090","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S067","aad1f5d7acb148536cf78d9745130eac9f82898fc427b6daca9748e843b873ed","511946","519942","CHI_R4_AUDIT_00091","covered","UTF-8 byte range; no gap or overlap"
